rank,candidate_id,server_state_sha,backend,serve_config,serve_params_json,workload,input_len,output_len,max_concurrency,request_rate,objective_metric,objective_value,relative_to_best,valid_repeats,failed_repeats,total_repeats,passes_constraints,constraint_reason,median_goodput_at_slo,median_output_tok_s_per_gpu,mean_output_tok_s_per_gpu,std_output_tok_s_per_gpu,cv_output_tok_s_per_gpu,median_p99_ttft_ms,mean_p99_ttft_ms,median_p99_tpot_ms,mean_p99_tpot_ms,median_request_throughput
1,d3ac2d162a80,9a0696003dfe,vllm,vllm_tp4dp1,"{""data_parallel_size"":1,""dtype"":""bfloat16"",""enable_expert_parallel"":false,""enable_prefix_caching"":false,""gpu_memory_utilization"":0.85,""max_num_batched_tokens"":8192,""max_num_seqs"":128,""moe_backend"":""auto"",""tensor_parallel_size"":4}",prompt256_out128_conc16_seed0_rep0,256,128,16,inf,goodput_at_slo,170.43826623861185,1.0,1,0,1,True,,170.43826623861185,170.43826623861185,170.43826623861185,0.0,0.0,802.9281424276996,802.9281424276996,22.517065397467405,22.517065397467405,5.32619581995662
2,5caf3fdc02e4,702117e71a9e,vllm,vllm_tp4dp1_ep,"{""all2all_backend"":""allgather_reducescatter"",""data_parallel_size"":1,""dtype"":""bfloat16"",""enable_ep_weight_filter"":true,""enable_expert_parallel"":true,""enable_prefix_caching"":false,""expert_placement_strategy"":""linear"",""gpu_memory_utilization"":0.85,""max_num_batched_tokens"":8192,""max_num_seqs"":128,""moe_backend"":""auto"",""tensor_parallel_size"":4}",prompt256_out128_conc16_seed0_rep0,256,128,16,inf,goodput_at_slo,164.5558948658524,0.9654867917717246,1,0,1,True,,164.5558948658524,164.5558948658524,164.5558948658524,0.0,0.0,819.37028267188,819.37028267188,23.357133197407496,23.357133197407496,5.142371714557887
3,a14324327f8c,0675252c4759,sglang,sglang_tp4,"{""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dtype"":""bfloat16"",""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",prompt256_out128_conc16_seed0_rep0,256,128,16,inf,goodput_at_slo,128.97611526705728,0.7567321477354858,1,0,1,True,,128.97611526705728,128.97611526705728,128.97611526705728,0.0,0.0,447.92505114804953,447.92505114804953,25.977446849392436,25.977446849392436,7.517733494619004
4,44075407cd3e,e7cd2996774d,vllm,vllm_tp2dp2_ep,"{""all2all_backend"":""allgather_reducescatter"",""data_parallel_size"":2,""dtype"":""bfloat16"",""enable_ep_weight_filter"":true,""enable_expert_parallel"":true,""enable_prefix_caching"":false,""expert_placement_strategy"":""linear"",""gpu_memory_utilization"":0.85,""max_num_batched_tokens"":8192,""max_num_seqs"":128,""moe_backend"":""auto"",""tensor_parallel_size"":2}",prompt256_out128_conc16_seed0_rep0,256,128,16,inf,goodput_at_slo,115.42301338382416,0.6772130222342975,1,0,1,True,,115.42301338382416,115.42301338382416,115.42301338382416,0.0,0.0,1106.3405264134053,1106.3405264134053,36.29749955183196,36.29749955183196,3.606969168244505
5,ecde138830b5,09a06e21b4f2,sglang,sglang_tp4_dpattn,"{""attention_backend"":""triton"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dp"":4,""dtype"":""bfloat16"",""enable_dp_attention"":true,""max_running_requests"":128,""mem_fraction_static"":0.85,""tp"":4}",prompt256_out128_conc16_seed0_rep0,256,128,16,inf,goodput_at_slo,109.6756263028635,0.6434917974894132,1,0,1,True,,109.6756263028635,109.6756263028635,109.6756263028635,0.0,0.0,444.4338132219855,444.4338132219855,35.43135051929576,35.43135051929576,6.392750531314449
6,b74cb14ac0c9,96ff1c2efd6b,vllm,vllm_tp2dp2,"{""data_parallel_size"":2,""dtype"":""bfloat16"",""enable_expert_parallel"":false,""enable_prefix_caching"":false,""gpu_memory_utilization"":0.85,""max_num_batched_tokens"":8192,""max_num_seqs"":128,""moe_backend"":""auto"",""tensor_parallel_size"":2}",prompt256_out128_conc16_seed0_rep0,256,128,16,inf,goodput_at_slo,109.441352660763,0.642117260847668,1,0,1,True,,109.441352660763,109.441352660763,109.441352660763,0.0,0.0,1201.1119418835733,1201.1119418835733,35.846033670085184,35.846033670085184,3.420042270648844
7,062e476d673a,297a61c588cb,sglang,sglang_tp4_ep,"{""attention_backend"":""flashinfer"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dtype"":""bfloat16"",""ep"":4,""max_running_requests"":128,""mem_fraction_static"":0.85,""moe_a2a_backend"":""none"",""moe_runner_backend"":""auto"",""tp"":4}",prompt256_out128_conc16_seed0_rep0,256,128,16,inf,goodput_at_slo,107.4335509263082,0.630337032271276,1,0,1,True,,107.4335509263082,107.4335509263082,107.4335509263082,0.0,0.0,936.7933190474287,936.7933190474287,28.037378552799055,28.037378552799055,6.262064899165505
8,058c3e72a3b9,3c06e5615fd5,sglang,sglang_tp4_dpattn_ep,"{""attention_backend"":""triton"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dp"":4,""dtype"":""bfloat16"",""enable_dp_attention"":true,""ep"":4,""max_running_requests"":128,""mem_fraction_static"":0.85,""moe_a2a_backend"":""none"",""moe_runner_backend"":""auto"",""tp"":4}",prompt256_out128_conc16_seed0_rep0,256,128,16,inf,goodput_at_slo,98.33289004522595,0.5769413888989043,1,0,1,True,,98.33289004522595,98.33289004522595,98.33289004522595,0.0,0.0,510.8796095917933,510.8796095917933,50.96673918776037,50.96673918776037,5.73160743433011
9,982d1b6dddc5,90ea3900f2ae,sglang,sglang_tp4_dpattn2_ep,"{""attention_backend"":""triton"",""chunked_prefill_size"":8192,""context_length"":8192,""disable_radix_cache"":true,""dp"":2,""dtype"":""bfloat16"",""enable_dp_attention"":true,""ep"":4,""max_running_requests"":128,""mem_fraction_static"":0.85,""moe_a2a_backend"":""none"",""moe_runner_backend"":""auto"",""tp"":4}",prompt256_out128_conc16_seed0_rep0,256,128,16,inf,goodput_at_slo,83.60697826299673,0.4905411214753136,1,0,1,True,,83.60697826299673,83.60697826299673,83.60697826299673,0.0,0.0,561.9358055945486,561.9358055945486,48.446728097151215,48.446728097151215,4.87326649256083
1,d3ac2d162a80,9a0696003dfe,vllm,vllm_tp4dp1,"{""data_parallel_size"":1,""dtype"":""bfloat16"",""enable_expert_parallel"":false,""enable_prefix_caching"":false,""gpu_memory_utilization"":0.85,""max_num_batched_tokens"":8192,""max_num_seqs"":128,""moe_backend"":""auto"",""tensor_parallel_size"":4}",prompt256_out128_conc4_seed0_rep0,256,128,4,inf,goodput_at_slo,78.5246956910227,1.0,1,0,1,True,,78.5246956910227,78.5246956910227,78.5246956910227,0.0,0.0,272.73436966584995,272.73436966584995,12.601658994484122,12.601658994484122,2.4538967403444594
